id,russian,lincos,category,subcategory,difficulty,concepts
math_360,семь умножить на двенадцать равно восемьдесят четыре,111 * 1100 = 1010100,math,multiplication,1,"['arithmetic', 'multiplication']"
math_487,восемь умножить на шесть равно сорок восемь,1000 * 110 = 110000,math,multiplication,1,"['arithmetic', 'multiplication']"
math_628,тринадцать плюс одиннадцать равно двадцать четыре,1101 + 1011 = 11000,math,addition,1,"['arithmetic', 'addition']"
math_340,восемь плюс один равно девять,1000 + 1 = 1001,math,addition,1,"['arithmetic', 'addition']"
logic_239,"для всех x, если x принадлежит Rat, то x принадлежит Com",∧ x . x ∈ Rat . → . x ∈ Com,logic,quantifier,3,"['logic', 'quantifier']"
math_205,четыре плюс пять равно девять,100 + 101 = 1001,math,addition,1,"['arithmetic', 'addition']"
logic_628,"существует b такой, что b принадлежит Rat",∨ b . b ∈ Rat,logic,quantifier,3,"['logic', 'quantifier']"
logic_1457,y равно a,y = a,logic,equality,1,"['logic', 'equality']"
math_782,один умножить на пять равно пять,1 * 101 = 101,math,multiplication,1,"['arithmetic', 'multiplication']"
logic_476,"если y равно x, то x равно y",y = x . → . x = y,logic,implication,2,"['logic', 'implication']"
comp_42,девять меньше или равно пятнадцать,1001 ≤ 1111,comparison,меньше или равно,1,"['comparison', 'inequality']"
logic_527,a равно y,a = y,logic,equality,1,"['logic', 'equality']"
math_773,одиннадцать умножить на четыре равно сорок четыре,1011 * 100 = 101100,math,multiplication,1,"['arithmetic', 'multiplication']"
comp_490,шесть меньше двадцать,110 < 10100,comparison,меньше,1,"['comparison', 'inequality']"
math_1167,десять плюс три равно тринадцать,1010 + 11 = 1101,math,addition,1,"['arithmetic', 'addition']"
logic_987,"если b равно c, то c равно b",b = c . → . c = b,logic,implication,2,"['logic', 'implication']"
comp_215,пять меньше или равно семь,101 ≤ 111,comparison,меньше или равно,1,"['comparison', 'inequality']"
comp_9,восемнадцать больше или равно три,10010 ≥ 11,comparison,больше или равно,1,"['comparison', 'inequality']"
math_793,двенадцать плюс четыре равно шестнадцать,1100 + 100 = 10000,math,addition,1,"['arithmetic', 'addition']"
comp_179,пять меньше пятнадцать,101 < 1111,comparison,меньше,1,"['comparison', 'inequality']"
comp_149,пять больше три,101 > 11,comparison,больше,1,"['comparison', 'inequality']"
